Epoch: 210, cost_train = 0.096580206, accuracy_train = 97.84%, accuracy_test = 98.26%
Epoch: 211, cost_train = 0.094539900, accuracy_train = 97.40%, accuracy_test = 98.17%
Epoch: 212, cost_train = 0.096305653, accuracy_train = 97.49%, accuracy_test = 98.25%
Epoch: 213, cost_train = 0.097921599, accuracy_train = 97.38%, accuracy_test = 98.19%
Epoch: 214, cost_train = 0.094918562, accuracy_train = 97.45%, accuracy_test = 98.32%
Epoch: 215, cost_train = 0.095309159, accuracy_train = 97.61%, accuracy_test = 98.17%
Epoch: 216, cost_train = 0.095634328, accuracy_train = 97.75%, accuracy_test = 98.37%
Epoch: 217, cost_train = 0.094047803, accuracy_train = 97.76%, accuracy_test = 98.28%
Epoch: 218, cost_train = 0.092037777, accuracy_train = 97.52%, accuracy_test = 98.34%
Epoch: 219, cost_train = 0.093421869, accuracy_train = 97.51%, accuracy_test = 98.28%
Epoch: 220, cost_train = 0.093774509, accuracy_train = 97.27%, accuracy_test = 98.20%
Epoch: 221, cost_train = 0.092863765, accuracy_train = 97.27%, accuracy_test = 98.28%
Epoch: 222, cost_train = 0.091809841, accuracy_train = 97.70%, accuracy_test = 98.33%
Epoch: 223, cost_train = 0.094138704, accuracy_train = 97.53%, accuracy_test = 98.28%
Epoch: 224, cost_train = 0.092595558, accuracy_train = 97.32%, accuracy_test = 98.19%
Epoch: 225, cost_train = 0.092658484, accuracy_train = 97.67%, accuracy_test = 98.36%
Epoch: 226, cost_train = 0.094331344, accuracy_train = 97.57%, accuracy_test = 98.38%
Epoch: 227, cost_train = 0.090716350, accuracy_train = 97.63%, accuracy_test = 98.26%
Epoch: 228, cost_train = 0.090260672, accuracy_train = 97.29%, accuracy_test = 98.30%
Epoch: 229, cost_train = 0.090871070, accuracy_train = 97.57%, accuracy_test = 98.31%
Epoch: 230, cost_train = 0.091253337, accuracy_train = 97.61%, accuracy_test = 98.32%
Epoch: 231, cost_train = 0.089327412, accuracy_train = 97.72%, accuracy_test = 98.26%
Epoch: 232, cost_train = 0.090954962, accuracy_train = 97.78%, accuracy_test = 98.30%
Epoch: 233, cost_train = 0.091882413, accuracy_train = 97.62%, accuracy_test = 98.41%
Epoch: 234, cost_train = 0.089107116, accuracy_train = 97.51%, accuracy_test = 98.28%
Epoch: 235, cost_train = 0.089289016, accuracy_train = 97.70%, accuracy_test = 98.28%
Epoch: 236, cost_train = 0.089942589, accuracy_train = 97.64%, accuracy_test = 98.24%
Epoch: 237, cost_train = 0.090073147, accuracy_train = 97.45%, accuracy_test = 98.41%
Epoch: 238, cost_train = 0.088743404, accuracy_train = 97.64%, accuracy_test = 98.35%
Epoch: 239, cost_train = 0.090649916, accuracy_train = 97.62%, accuracy_test = 98.36%
Epoch: 240, cost_train = 0.090418279, accuracy_train = 97.33%, accuracy_test = 98.42%
Epoch: 241, cost_train = 0.089624759, accuracy_train = 97.61%, accuracy_test = 98.36%
Epoch: 242, cost_train = 0.089785306, accuracy_train = 97.67%, accuracy_test = 98.35%
Epoch: 243, cost_train = 0.089186657, accuracy_train = 97.81%, accuracy_test = 98.38%
Epoch: 244, cost_train = 0.085815791, accuracy_train = 97.64%, accuracy_test = 98.34%
Epoch: 245, cost_train = 0.088328287, accuracy_train = 97.79%, accuracy_test = 98.38%
